author,book_count,avg_rating
Stephen King,4,4.525
Thug Kitchen,4,4.6
Jen Sincero,4,4.7
Rupi Kaur,4,4.7
Kathryn Stockett,4,4.8
Rod Campbell,4,4.8
Emily Winfield Martin,4,4.9
John Grisham,5,4.4
Patrick Lencioni,5,4.6
John Green,5,4.66
Dale Carnegie,5,4.7
Roger Priddy,5,4.7
Giles Andreae,5,4.8
Laura Hillenbrand,5,4.8
R. J. Palacio,5,4.8
E L James,6,4.233333333333333
The College Board,6,4.383333333333334
J.K. Rowling,6,4.45
Harper Lee,6,4.6
Stieg Larsson,6,4.6000000000000005
Don Miguel Ruiz,6,4.7
Sarah Young,6,4.9
Bill O'Reilly,7,4.642857142857143
Stephen R. Covey,7,4.642857142857143
Stephenie Meyer,7,4.6571428571428575
Dav Pilkey,7,4.9
Eric Carle,7,4.9
Rob Elliott,8,4.5625
Gallup,9,4.0
Dr. Seuss,9,4.877777777777778
American Psychological Association,10,4.5
Suzanne Collins,11,4.663636363636363
Gary Chapman,11,4.736363636363636
Rick Riordan,11,4.7727272727272725
Jeff Kinney,12,4.8
